Site Name,Current WAN1,Future WAN1,WAN1 Change,Current WAN2,Future WAN2,WAN2 Change,Fix Type
ALM 01,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
ALM 03,nSpectrum n (1000.0M x 50.0M),Spectrum (1000.0M x 50.0M),✓ CHANGED,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
ALN 02,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
ARL 01,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (1250.0M x 35.0M),Comcast Workplace (1250.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
ARL 02,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
ARL 03,nConway Corporation n (500.0M x 50.0M),Conway Corporation (500.0M x 50.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
ARL 04,nAltice West n (300.0M x 30.0M),Altice West (300.0M x 30.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
ARL 05,nAT&T Broadband II n (1000.0M x 200.0M),AT&T Broadband II (1000.0M x 200.0M),✓ CHANGED,nRitter Communications n (250.0M x 250.0M),Ritter Communications (250.0M x 250.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
ARO 01,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
ARO 02,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
ARO 03,nAT&T Broadband II n (500.0M x 100.0M),AT&T Broadband II (500.0M x 100.0M),✓ CHANGED,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
ARO 04,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZC 01,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZF 01,nDSR CLink Fiber n (500.0M x 500.0M),DSR CLink Fiber (500.0M x 500.0M),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZF 02,nAltice West n (500.0M x 50.0M),Altice West (500.0M x 50.0M),✓ CHANGED,nLightpath n (300.0M x 300.0M),Lightpath (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZH 01,nOptimum n (500.0M x 50.0M),Optimum (500.0M x 50.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZK 01,nFrontier Communications n (1000.0M x 1000.0M),Frontier Communications (1000.0M x 1000.0M),✓ CHANGED,nAllo Communications n (500.0M x 500.0M),Allo Communications (500.0M x 500.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZM 01,nOrbitel Communications n (300.0M x 300.0M),Orbitel Communications (300.0M x 300.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZN 02,nCABLE ONE INC. n (300.0M x 30.0M),CABLE ONE INC. (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZN 04,nFrontier n (20.0M x 20.0M),Frontier (20.0M x 20.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZN 05,nTransWorld n (500.0M x 500.0M),TransWorld (500.0M x 500.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZN 06,nSparklight n (300.0M x 30.0M),Sparklight (300.0M x 30.0M),✓ CHANGED,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP_00,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 01,(empty),(empty),,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix
AZP 09,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nEB2-Lumen DSL n (100.0M x 10.0M),EB2-Lumen DSL (100.0M x 10.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 10,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 11,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 13,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 16,nDSR Cox n (300.0M x 30.0M),DSR Cox (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 17,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 18,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nEB2-CenturyLink DSL n (80.0M x 10.0M),EB2-CenturyLink DSL (80.0M x 10.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 20,nSaddleback Communications n (300.0M x 30.0M),Saddleback Communications (300.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 21,nCox Business BOI n (100.0M x 20.0M),Cox Business BOI (100.0M x 20.0M),✓ CHANGED,nCenturyLink n (80.0M x 10.0M),CenturyLink (80.0M x 10.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 25,nCox Business BOI n (100.0M x 20.0M),Cox Business BOI (100.0M x 20.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 26,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nEB2-Centurylink DSL n (100.0M x 10.0M),EB2-Centurylink DSL (100.0M x 10.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 27,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nCenturyLink n (40.0M x 20.0M),CenturyLink (40.0M x 20.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 28,nCox Business BOI n (500.0M x 50.0M),Cox Business BOI (500.0M x 50.0M),✓ CHANGED,nCenturyLink n (140.0M x 20.0M),CenturyLink (140.0M x 20.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 30,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nEB2-Centurylink DSL n (100.0M x 10.0M),EB2-Centurylink DSL (100.0M x 10.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 31,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 32,nCox Communications n (200.0M x 20.0M),Cox Communications (200.0M x 20.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 33,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 34,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,Starlink (Satellite),Starlink (Satellite),,Provider Name Fix
AZP 35,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 36,nWyyerd Fiber n (2000.0M x 2000.0M),Wyyerd Fiber (2000.0M x 2000.0M),✓ CHANGED,Starlink (Satellite),Starlink (Satellite),,Provider Name Fix
AZP 37,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nCenturyLink n (100.0M x 10.0M),CenturyLink (100.0M x 10.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 38,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 39,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 41,nAT&T n (20.0M x 20.0M),AT&T (20.0M x 20.0M),✓ CHANGED,Starlink (Satellite),Starlink (Satellite),,Provider Name Fix
AZP 42,nCox Business BOI n (300.0M x 20.0M),Cox Business BOI (300.0M x 20.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 43,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nCenturyLink n (80.0M x 10.0M),CenturyLink (80.0M x 10.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 44,nCenturyLink n (100.0M x 10.0M),CenturyLink (100.0M x 10.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 45,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,Starlink (Satellite),Starlink (Satellite),,Provider Name Fix
AZP 46,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nEB2-Centurylink DSL n (140.0M x 20.0M),EB2-Centurylink DSL (140.0M x 20.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 48,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 49,nCenturyLink n (12.0M x 2.0M),CenturyLink (12.0M x 2.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 50,(empty),(empty),,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix
AZP 51,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 53,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 55,nCenturyLink n (500.0M x 500.0M),CenturyLink (500.0M x 500.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 56,nComcastAgg n (10.0M x 10.0M),ComcastAgg (10.0M x 10.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 57,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 58,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 59,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 60,nMediacom Communications Corporation n (1000.0M x 30.0M),Mediacom Communications Corporation (1000.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 61,nCox Communications n (200.0M x 20.0M),Cox Communications (200.0M x 20.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZP 62,(empty),(empty),,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix
AZPB 20,nConnected to Desert Ridge MX250 n (),Connected to Desert Ridge MX250 (),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZS 01,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZT 01,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZT 02,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nEB2-Centurylink DSL n (100.0M x 10.0M),EB2-Centurylink DSL (100.0M x 10.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZT 03,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZT 07,nCox Communications n (200.0M x 200.0M),Cox Communications (200.0M x 200.0M),✓ CHANGED,Starlink (Satellite),Starlink (Satellite),,Provider Name Fix
AZT 09,(empty),(empty),,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix
AZT 10,(empty),(empty),,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix
AZT 11,nComcast Workplace n (600.0M x 35.0M),Comcast Workplace (600.0M x 35.0M),✓ CHANGED,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZT 12,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nLumen Qwest n (100.0M x 10.0M),Lumen Qwest (100.0M x 10.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZT 13,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nGTT ESA2 ADSL n (60.0M x 5.0M),GTT ESA2 ADSL (60.0M x 5.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZY 01,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
AZY 02,nAllo Communications n (1000.0M x 1000.0M),Allo Communications (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
BSM Test Network,nBSM Lab in the Test Lab area of Scottsdale HQ (),BSM Lab in the Test Lab area of Scottsdale HQ (),✓ CHANGED,(empty),(empty),,Provider Name Fix
CAL_00,nFrontier Communications n (500.0M x 500.0M),Frontier Communications (500.0M x 500.0M),✓ CHANGED,nCharter Communications n (600.0M x 35.0M),Charter Communications (600.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 01,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nEB2-Frontier Fiber n (500.0M x 500.0M),EB2-Frontier Fiber (500.0M x 500.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 02,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nFrontier MetroFiber n (100.0M x 100.0M),Frontier MetroFiber (100.0M x 100.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 04,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 05,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 06,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 07,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 08,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 09,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nEB2-Frontier Fiber n (500.0M x 500.0M),EB2-Frontier Fiber (500.0M x 500.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 10,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 11,nCox Communications n (100.0M x 20.0M),Cox Communications (100.0M x 20.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 12,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 13,nFrontier Communications n (1000.0M x 1000.0M),Frontier Communications (1000.0M x 1000.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 14,nDSR One Ring Networks | Fixed Wireless | n (20.0M x 5.0M),DSR One Ring Networks | Fixed Wireless | (20.0M x 5.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 15,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 17,nFrontier Communications n (500.0M x 500.0M),Frontier Communications (500.0M x 500.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 18,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 19,nAT&T Broadband II n (1000.0M x 200.0M),AT&T Broadband II (1000.0M x 200.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 20,nFrontier Communications n (500.0M x 500.0M),Frontier Communications (500.0M x 500.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 21,nAT&T Broadband n (1000.0M x 1000.0M),AT&T Broadband (1000.0M x 1000.0M),✓ CHANGED,nAT&T Broadband n (45.0M x 6.0M),AT&T Broadband (45.0M x 6.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 22,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 23,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 24,nFrontier Communications n (500.0M x 500.0M),Frontier Communications (500.0M x 500.0M),✓ CHANGED,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 26,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 28,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 29,nAT&T n (),AT&T (),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 31,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 33,nComcast Workplace n (600.0M x 35.0M),Comcast Workplace (600.0M x 35.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 35,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 37,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 38,nSpectrum n (300.0M x 20.0M),Spectrum (300.0M x 20.0M),✓ CHANGED,n- VZ Gateway (),- VZ Gateway (),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 40,nAT&T Broadband II n (1000.0M x 200.0M),AT&T Broadband II (1000.0M x 200.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 41,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nSpectrum n (1000.0M x 50.0M),Spectrum (1000.0M x 50.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 42,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 43,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 44,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 46,nEB2-Frontier Fiber n (500.0M x 500.0M),EB2-Frontier Fiber (500.0M x 500.0M),✓ CHANGED,\nAccelerated (Cell),Accelerated (Cell),✓ CHANGED,Provider Name Fix
CAL 47,nEB2-Frontier Fiber n (500.0M x 500.0M),EB2-Frontier Fiber (500.0M x 500.0M),✓ CHANGED,nOne Ring Networks n (300.0M x 30.0M),One Ring Networks (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL 48,nCox Communications n (300.0M x 30.0M),Cox Communications (300.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAL W01,nDSR Frontier Fiber n (1000.0M x 1000.0M),DSR Frontier Fiber (1000.0M x 1000.0M),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAN_00,nComcast n (300.0M x 30.0M),Comcast (300.0M x 30.0M),✓ CHANGED,nAT&T n (300.0M x 300.0M),AT&T (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAN 02,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nAccelerated Port 10 have security system (),Accelerated Port 10 have security system (),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAN 03,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAN 04,nComcast Workplace n (300.0M x 25.0M),Comcast Workplace (300.0M x 25.0M),✓ CHANGED,nAccelerated (),Accelerated (),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAN 05,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAN 07,nComcast Workplace n (600.0M x 35.0M),Comcast Workplace (600.0M x 35.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAN 11,nComcast Workplace n (600.0M x 35.0M),Comcast Workplace (600.0M x 35.0M),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAN 12,nDSR Etheric FixedWireless n (10.0M x 10.0M),DSR Etheric FixedWireless (10.0M x 10.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
CAN 13,nComcast Workplace n (300.0M x 25.0M),Comcast Workplace (300.0M x 25.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
