site_name,site_id,circuit_purpose,dsr_provider,dsr_speed,dsr_cost,dsr_ip,meraki_wan1_provider,wan1_ip,wan1_arin_provider,meraki_wan2_provider,wan2_ip,wan2_arin_provider,current_match,normalized_dsr_provider,normalized_wan1_arin,normalized_wan2_arin,wan1_arin_matches_dsr,wan2_arin_matches_dsr
ALN 02,ALN 02,Primary,AT&T Broadband II,300.0M x 300.0M,105.01,162.199.104.113,AT&T Broadband II,162.199.104.113,AT&T,Comcast Workplace,70.90.225.177,Comcast,WAN1,at&t,at&t,comcast,Yes,No
ALN 02,ALN 02 -B,Secondary,Comcast Workplace,250.0M x 25.0M,186.18,70.90.225.177,AT&T Broadband II,162.199.104.113,AT&T,Comcast Workplace,70.90.225.177,Comcast,WAN2,comcast,at&t,comcast,No,Yes
ALS 01,ALS 01,Primary,Spectrum,600.0M x 35.0M,172.23,173.197.231.154,Spectrum,173.197.231.154,Charter Communications,Comcast Workplace,96.72.25.77,Comcast,WAN1,spectrum,spectrum,comcast,Yes,No
ALS 01,ALS 01 -B,Secondary,Comcast Workplace,300.0M x 30.0M,175.56,96.72.25.77,Spectrum,173.197.231.154,Charter Communications,Comcast Workplace,96.72.25.77,Comcast,WAN2,comcast,spectrum,comcast,No,Yes
ALS 02,ALS 02,Primary,C Spire,1000.0M x 1000.0M,349.00,50.86.27.54,C Spire,50.86.27.54,C Spire Fiber,Brightspeed,64.159.249.182,CenturyLink,WAN1,c,c,centurylink,Yes,No
ALS 02,ALS 02-B,Secondary,Brightspeed,300.0M x 300.0M,995.00,64.159.249.182,C Spire,50.86.27.54,C Spire Fiber,Brightspeed,64.159.249.182,CenturyLink,WAN2,brightspeed,c,centurylink,No,No
ARL 01,ARL 01,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,107.129.220.41,AT&T Broadband II,107.129.220.41,AT&T,Comcast Workplace,50.214.80.29,Comcast,WAN1,at&t,at&t,comcast,Yes,No
ARL 01,ARL 01- B,Secondary,Comcast Workplace,1000.0M x 35.0M,282.23,50.214.80.29,AT&T Broadband II,107.129.220.41,AT&T,Comcast Workplace,50.214.80.29,Comcast,WAN2,comcast,at&t,comcast,No,Yes
ARL 02,ARL 02,Primary,Comcast Workplace,250.0M x 25.0M,186.18,50.214.80.229,AT&T Broadband II,108.241.236.49,AT&T,Comcast Workplace,50.214.80.229,Comcast,WAN2,comcast,at&t,comcast,No,Yes
ARL 02,ARL 02 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,108.241.236.49,AT&T Broadband II,108.241.236.49,AT&T,Comcast Workplace,50.214.80.229,Comcast,WAN1,at&t,at&t,comcast,Yes,No
ARL 03,ARL 03,Primary,Conway Corporation,500.0M x 50.0M,154.95,24.144.4.162,Conway Corporation,24.144.4.162,Conway Corporation,AT&T Broadband II,107.129.216.209,AT&T,WAN1,conway,conway,at&t,Yes,No
ARL 03,ARL 03 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,107.129.216.209,Conway Corporation,24.144.4.162,Conway Corporation,AT&T Broadband II,107.129.216.209,AT&T,WAN2,at&t,conway,at&t,No,Yes
ARL 04,ARL 04,Primary,Altice West,300.0M x 30.0M,151.12,66.76.116.200,Altice West,192.168.1.75,Private IP,AT&T Broadband II,108.241.237.49,AT&T,WAN1,altice,private,at&t,No,No
ARL 04,ARL 04 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,108.241.237.49,Altice West,192.168.1.75,Private IP,AT&T Broadband II,108.241.237.49,AT&T,WAN2,at&t,private,at&t,No,Yes
ARL 05,ARL 05,Primary,AT&T Broadband II,1000.0M x 200.0M,165.00,107.140.226.113,AT&T Broadband II,107.140.226.113,AT&T,Ritter Communications,199.38.125.142,Ritter Communications,WAN1,at&t,at&t,ritter,Yes,No
ARL 05,ARL 05- B,Secondary,Ritter Communications,250.0M x 250.0M,194.99,199.38.125.142,AT&T Broadband II,107.140.226.113,AT&T,Ritter Communications,199.38.125.142,Ritter Communications,WAN2,ritter,at&t,ritter,No,Yes
ARL 06,ARL 06,Primary,Altice West,300.0M x 30.0M,151.12,66.76.87.145,Brightspeed,65.57.63.26,CenturyLink,Altice West,74.194.6.150,Optimum,WAN2,altice,centurylink,optimum,No,No
ARL 06,ARL 06 - B,Secondary,Brightspeed,100.0M x 100.0M,666.00,65.57.63.26,Brightspeed,65.57.63.26,CenturyLink,Altice West,74.194.6.150,Optimum,WAN1,brightspeed,centurylink,optimum,No,No
