Site Name,Confidence Score,Status,Reasons,WAN1 Provider,WAN1 Role,WAN1 IP,WAN1 ARIN,WAN2 Provider,WAN2 Role,WAN2 IP,WAN2 ARIN,DSR Primary Provider,DSR Primary IP,DSR Secondary Provider,DSR Secondary IP
KYL 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,172.4.130.201,AT&T,Spectrum,Secondary,70.60.43.18,Charter Communications,Spectrum,70.60.43.18,AT&T Broadband II,172.4.130.201
LAB 03,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,: AT&T Broadband II,Primary,104.62.190.17,AT&T,: Cox Business/BOI,Secondary,72.215.247.249,Cox Communications,Cox Business/BOI,72.215.247.249,AT&T Broadband II,104.62.190.17
MIB 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.14.0.33,AT&T,Comcast Workplace,Secondary,173.13.12.141,Comcast,Comcast Workplace,173.13.12.141,AT&T Broadband II,104.14.0.33
MID 20,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.95.111.241,AT&T,Comcast Workplace,Secondary,173.14.56.41,Comcast,Comcast Workplace,173.14.56.41,AT&T Broadband II,99.95.111.241
MID 25,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.245.49.193,AT&T,Comcast Workplace,Secondary,50.77.235.41,Comcast,Comcast Workplace,50.77.235.41,AT&T Broadband II,108.245.49.193
MIF 26,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,23.123.124.97,AT&T,Comcast Workplace,Secondary,96.85.104.161,Comcast,Comcast Workplace,96.85.104.161,AT&T Broadband II,23.123.124.97
MIP 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Winn Telecom,Primary,67.209.247.62,Winn Telecom,Spectrum,Secondary,66.188.28.62,Charter Communications,Spectrum,66.188.28.62,Winn Telecom,67.209.247.62
MIT 26,4,FLIPPED,Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,162.236.204.81,AT&T,Spectrum,Secondary,97.84.131.91,Charter Communications,Spectrum,97.86.93.230,AT&T Broadband II,162.236.204.81
MNM 12,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Metronet,Primary,199.48.95.72,Metronet,Spectrum,Secondary,24.181.149.18,Charter Communications,Spectrum,24.181.149.18,Metronet,199.48.95.72
MNM 20,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,MetroNet,Primary,195.252.234.8,Metronet,Spectrum,Secondary,24.196.62.150,Charter Communications,Spectrum,24.196.62.150,MetroNet,195.252.234.8
MOK 01,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.195.71.192,"AT&T Enterprises, LLC",Spectrum,Secondary,98.100.117.174,Charter Communications,Spectrum,98.100.117.174,AT&T Broadband II,NaN
MOK 07,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,162.193.190.173,AT&T,Spectrum,Secondary,70.115.24.82,Charter Communications,Spectrum ,70.115.24.82,AT&T Broadband II,162.193.190.169
MOS 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.252.197.217,AT&T,Spectrum,Secondary,97.87.195.122,Charter Communications,Spectrum,97.87.195.122,AT&T Broadband II,108.252.197.217
MOS 06,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Spectrum,Primary,47.47.33.146,Charter Communications,AT&T Broadband II,Secondary,104.8.211.201,AT&T,AT&T Broadband II,104.8.211.201,Spectrum,47.47.33.146
MOS 12,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Private Customer - AT&T Internet Services,Primary,162.203.66.114,AT&T,Spectrum,Secondary,47.50.179.106,Charter Communications,Spectrum,47.50.179.106,AT&T Broadband II,162.203.66.113
NCC 03,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.107.120.9,AT&T,Spectrum,Secondary,98.101.86.162,Charter Communications,Spectrum,98.101.86.162,AT&T Broadband II,99.107.120.9
NCC 11,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,107.210.92.89,AT&T,Spectrum,Secondary,173.42.50.70,Charter Communications,Spectrum,173.42.50.70,AT&T Broadband II,107.210.92.89
NCC 15,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,EB2-Windstream Fiber,Primary,66.16.228.90,Windstream Communications LLC,Spectrum,Secondary,70.62.83.50,Charter Communications,Spectrum,70.62.83.50,EB2-Windstream Fiber,66.16.228.90
NCC 20,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,107.203.43.57,AT&T,Spectrum,Secondary,66.57.129.46,Charter Communications,Spectrum,66.57.129.46,AT&T Broadband II,107.203.43.57
NCC 28,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,107.207.159.185,AT&T,Spectrum,Secondary,144.253.15.46,Charter Communications,Spectrum,144.253.15.46,AT&T Broadband II,107.207.159.185
NCC 43,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,EB2-Windstream Fiber,Primary,66.217.75.138,Windstream Communications LLC,Spectrum,Secondary,47.49.163.174,Charter Communications,Spectrum,47.49.163.174,EB2-Windstream Fiber,66.217.75.138
NCC 46,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Windstream,Primary,66.217.80.62,Windstream Communications LLC,Spectrum,Secondary,70.63.76.162,Charter Communications,Spectrum,70.63.76.162,Windstream,66.217.80.62
NEG 01,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,Allo Communications,Primary,206.222.219.64,Cogent Communications,Spectrum,Secondary,71.8.217.226,Charter Communications,Spectrum,71.8.217.226,Allo Communications,206.222.219.64
NEL 01,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Customer Static IP Range at LNK02-OA01,Primary,209.50.9.36,Allo Communications LLC,Spectrum,Secondary,76.79.25.54,Charter Communications,Spectrum,76.79.25.54,Allo Communications,209.50.93.36
NEO 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Great Plains Communications,Primary,64.64.137.13,Great Plains Communications LLC,Cox Business/BOI,Secondary,184.189.175.66,Cox Communications,Cox Business/BOI,184.189.175.66,Great Plains Communications,64.64.137.13
NEO 03,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Great Plains Communications,Primary,223.165.98.229,Great Plains Communications LLC,Cox Business/BOI,Secondary,98.171.225.242,Cox Communications,Cox Business/BOI,98.171.225.242,Great Plains Communications,223.165.98.229
NEO 04,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Great Plains Communications,Primary,24.223.126.167,Great Plains Communications,Cox Business/BOI,Secondary,72.215.216.179,Cox Communications,Cox Business/BOI,72.215.216.179,Great Plains Communications,24.223.126.167
NEO 07,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Great Plains Communications,Primary,173.240.90.78,Great Plains Communications,Cox Business/BOI,Secondary,98.179.45.43,Cox Communications,Cox Business/BOI,98.179.45.43,Great Plains Communications,173.240.90.78
NMA 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Unite Network,Primary,209.71.136.2,Unite Private Networks LLC.,Comcast,Secondary,50.240.15.89,Comcast,Comcast Workplace,50.240.15.89,Unite Private Networks,209.71.136.2
NMA 11,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,Tularosa Basin Telephone Company,Primary,66.18.169.141,"TULAROSA COMMUNICATIONS, INC.",TDS Cable,Secondary,24.49.160.42,DISCOUNT TIRE ,TDS Cable,24.49.160.42,Tularosa Basin Telephone Company,66.18.169.141
NMC 01,3,FLIPPED,Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,Plateau Telecommunications,Primary,68.66.82.53,Plateau Telecommunications Incorporated,Altice West,Secondary,74.192.234.29,Optimum,Altice West,66.76.20.2,Plateau Telecommunications,68.66.82.53
NMR 01,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,Plateau Telecommunications,Primary,64.90.159.209,Plateau Telecommunications Incorporated,Sparklight,Secondary,24.119.46.66,"CABLE ONE, INC.",Sparklight,24.119.46.66,Plateau Telecommunications,64.90.159.209
NMS 03,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,NMSurf Inc.,Primary,208.85.34.212,NMSURF,Comcast Workplace,Secondary,50.213.132.113,Comcast,Comcast Workplace,50.213.132.113,"NMSurf, Inc.",208.85.34.212
NVR 05,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,45.21.92.81,AT&T,Spectrum,Secondary,24.176.187.90,Charter Communications,Spectrum,24.176.187.90,AT&T Broadband II,45.21.92.81
OHC 06,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,162.195.85.225,AT&T,Spectrum,Secondary,147.0.109.194,Charter Communications,Spectrum,147.0.109.194,AT&T Broadband II,162.195.85.225
OHC 08,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,75.58.112.33,AT&T,Spectrum,Secondary,98.100.62.186,Charter Communications,Spectrum,98.100.62.186,AT&T Broadband II,75.58.112.33
OHN 04,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Spectrum,Primary,98.123.212.98,Charter Communications,Windstream,Secondary,64.24.227.230,Windstream Communications LLC,Windstream,64.24.227.230,Spectrum,98.123.212.98
OHS 02,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,Altafiber,Primary,74.83.131.130,Altafiber,Spectrum,Secondary,24.142.129.2,NCS,Spectrum,24.142.129.2,Altafiber,74.83.131.130
OKO 04,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.7.184.153,AT&T,Cox Business/BOI,Secondary,68.99.64.218,Cox Communications,Cox Business/BOI,68.99.64.218,AT&T Broadband II,104.7.184.153
OKO 06,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.90.246.217,AT&T,Cox Business/BOI,Secondary,72.200.243.6,Cox Communications,Cox Business/BOI,72.200.243.6,AT&T Broadband II,99.90.246.217
OKO 12,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,BluePeak Communications,Primary,143.109.149.115,Clarity Telecom LLC,AT&T Broadband II,Secondary,45.26.241.57,AT&T,AT&T Broadband II,45.26.241.57,BluePeak Communications ,143.109.149.115
OKO 13,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.7.190.9,AT&T,Cox Business/BOI,Secondary,24.249.100.154,Cox Communications,Cox Business/BOI,24.249.100.154,AT&T Broadband II,104.7.190.9
OKO 14,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.7.191.249,AT&T,Vyve,Secondary,24.112.100.163,Vyve Broadband,Vyve,24.112.100.163,AT&T Broadband II,104.7.191.249
OKT 02,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.148.52.201,AT&T,Cox Business/BOI,Secondary,174.78.187.86,Cox Communications,Cox Business/BOI,174.78.187.86,AT&T Broadband II,99.148.52.201
OKT 03,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.180.55.97,AT&T,Cox Business/BOI,Secondary,70.164.58.119,Cox Communications,Cox Business/BOI,70.164.58.119,AT&T Broadband II,104.180.55.97
ORP 10,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,HiLight Internet,Primary,38.100.219.222,"PSINet,",Comcast Workplace,Secondary,96.76.121.5,Comcast,Comcast Workplace,96.76.121.5,HiLight Internet,38.100.219.222
PAC 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Comcast Workplace,Primary,50.244.251.229,Comcast Cable Communications,Breezeline,Secondary,72.28.198.15,Breezeline,Breezeline,72.28.198.15,Comcast Workplace,50.244.251.229
SCC 02,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,68.75.70.137,AT&T,Spectrum,Secondary,47.46.230.78,Charter Communications,Spectrum,47.46.230.78,AT&T Broadband II,68.75.70.137
SCC 15,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,"Farmers Telephone Cooperative, Inc.",Primary,158.115.161.49,"Farmers Telephone Cooperative, Inc.",Spectrum,Secondary,174.108.179.122,Charter Communications,Spectrum,174.108.179.122,Farmers Telephone Cooperative (FTC),216.218.74.170
SCC 17,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,EB2-Frontier Fiber,Primary,45.52.184.66,Frontier Communications,Spectrum,Secondary,70.63.254.34,Charter Communications,Spectrum,70.63.254.34,EB2-Frontier Fiber,45.52.184.66
TNM 04,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,76.217.222.73,AT&T,Comcast Workplace,Secondary,75.145.217.113,Comcast,Comcast Workplace,75.145.217.113,AT&T Broadband II,76.217.222.73
TNN 08,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,107.217.125.233,AT&T,Comcast Workplace,Secondary,50.213.159.233,Comcast,Comcast Workplace,50.213.159.233,AT&T Broadband II,107.217.125.233
TNN 14,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.28.40.89,AT&T,Spectrum,Secondary,96.38.28.106,Charter Communications,Spectrum,96.38.28.106,AT&T Broadband II,99.28.40.89
TNN 15,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.96.219.157,AT&T,Comcast Workplace,Secondary,96.74.37.101,Comcast,Comcast Workplace,96.74.37.101,AT&T Broadband II,99.96.219.153
TXA 09,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,76.214.115.145,AT&T,Spectrum,Secondary,24.153.247.10,Charter Communications,Spectrum,24.153.247.10,AT&T Broadband II,76.214.115.145
TXA 13,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,68.255.247.177,AT&T,Spectrum,Secondary,98.6.39.218,Charter Communications,Spectrum,98.6.39.218,AT&T Broadband II,68.255.247.177
TXC 06,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,AT&T Broadband II,Primary,107.141.9.241,AT&T,Altice,Secondary,173.219.32.142,Optimum,Altice,173.219.32.142,AT&T Broadband II,107.141.9.241
TXC 07,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,107.131.61.121,AT&T,Spectrum,Secondary,71.41.150.102,Charter Communications,Spectrum,71.41.150.102,AT&T Broadband II,107.131.61.121
TXC 18,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.80.71.65,AT&T,Spectrum,Secondary,50.84.207.42,Charter Communications,Spectrum,50.84.207.42,AT&T Broadband II,108.80.71.65
TXC 19,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Vexus,Primary,38.158.148.28,Vexus Fiber,Spectrum,Secondary,67.78.88.118,Charter Communications,Spectrum,67.78.88.118,Vexus,38.158.148.28
TXC 21,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Big Bend Telephone,Primary,159.117.61.10,"Big Bend Telephone Company, Inc.",Spectrum,Secondary,98.6.130.254,Charter Communications,Spectrum,98.6.130.254,Big Bend Telephone,159.117.61.10
TXD 11,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.48.98.249,AT&T,Spectrum,Secondary,71.15.97.230,Charter Communications,Spectrum,71.15.97.230,AT&T Broadband II,104.48.98.249
TXD 22,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,162.201.89.89,AT&T,Spectrum,Secondary,70.118.0.218,Charter Communications,Spectrum,70.118.0.218,AT&T Broadband II,162.201.89.89
TXD 26,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.90.222.89,AT&T,Spectrum,Secondary,67.48.52.214,Charter Communications Inc,Spectrum,67.48.52.214,AT&T Broadband II,108.90.222.89
TXD 28,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Spectrum,Primary,162.205.143.25,AT&T,Spectrum,Secondary,98.6.99.58,Charter Communications,Spectrum,98.6.99.58,AT&T Broadband II,NaN
TXD 38,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,162.205.143.57,AT&T,Spectrum,Secondary,98.6.99.74,Charter Communications,Spectrum,98.6.99.74,AT&T Broadband II,162.205.143.57
TXD 40,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.77.50.201,AT&T,Spectrum,Secondary,68.187.35.114,Charter Communications,Spectrum,68.187.35.114,AT&T Broadband II,108.77.50.201
TXD 42,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.89.26.241,AT&T,Spectrum,Secondary,172.87.130.182,Charter Communications,Spectrum,172.87.130.182,AT&T Broadband II,99.89.26.241
TXD 44,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,75.19.29.57,AT&T,Spectrum,Secondary,137.27.187.202,Charter Communications,Spectrum,137.27.187.202,AT&T Broadband II,75.19.29.57
TXD 45,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.204.140.177,AT&T,Spectrum,Secondary,72.129.168.226,Charter Communications,Spectrum,72.129.168.226,AT&T Broadband II,108.204.140.177
TXD 50,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Private Customer - AT&T Internet Services,Primary,107.143.177.97,AT&T,Charter Communications Inc,Secondary,71.40.111.46,Charter Communications,Spectrum,71.40.111.46,AT&T Broadband II,107.143.177.97
TXD 51,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.187.163.33,AT&T,Spectrum,Secondary,24.178.208.158,Charter Communications,Spectrum,24.178.208.158,AT&T Broadband II,104.187.163.33
TXD 58,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.29.137.201,AT&T,Spectrum,Secondary,24.242.180.146,Charter Communications,Spectrum,24.242.180.146,AT&T Broadband II,99.29.137.201
TXD 63,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,EB2-Windstream Fiber,Primary,66.217.154.90,Windstream Communications,Cable One,Secondary,96.18.58.190,"CABLE ONE, INC.",Cable One,96.18.58.190,EB2-Windstream Fiber,66.217.154.90
TXD 67,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.69.141.65,AT&T,Spectrum,Secondary,192.154.182.110,Charter Communications,Spectrum,192.154.182.110,AT&T Broadband II,108.69.141.65
TXD 81,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,EB2-Frontier Fiber,Primary,47.190.112.121,Frontier Communications Corporation,Spectrum,Secondary,70.115.32.30,Charter Communications,Spectrum,70.115.32.30,EB2-Frontier Fiber,47.190.112.121
TXD 94,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Spectrum,Primary,162.234.86.65,AT&T,AT&T Broadband II,Secondary,75.139.242.194,Charter Communications,Spectrum,75.139.242.194,AT&T Broadband II,162.234.86.65
TXH 10,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.186.25.25,AT&T,Comcast Workplace,Secondary,50.249.71.157,Comcast,Comcast Workplace,50.249.71.157,AT&T Broadband II,104.186.25.25
TXH 20,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.65.53.145,AT&T,Comcast Workplace,Secondary,50.213.171.5,Comcast,Comcast Workplace,50.213.171.5,AT&T Broadband II,108.65.53.145
TXH 33,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,172.0.229.77,AT&T,Comcast Workplace,Secondary,198.0.88.13,Comcast,Comcast Workplace,198.0.88.13,AT&T Broadband II,172.0.229.73
TXH 39,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.65.52.17,AT&T,Comcast Workplace,Secondary,50.197.200.25,Comcast,Comcast Workplace,50.197.200.25,AT&T Broadband II,108.65.52.17
