Site Name,Circuit Purpose,Status,IP Address,Circuits Table Provider,Circuits Table Speed,Enriched Network Name,Enriched Provider,Enriched Speed,DSR Provider,DSR Speed,Has Meraki Notes,Notes Preview
CAS 08,Secondary,Enabled,99.68.11.209,AT&T Broadband II,1000.0M x 1000.0M,CAS 08,Cox Business/BOI,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 09,Primary,Enabled,98.178.227.93,Cox Business/BOI,300.0M x 30.0M,CAS 09,Cox Communications,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Communications
300.0M x 30.0M
WAN 2
Unknown..."
CAS 09,Secondary,Order Canceled,NaN,Spectrum,600.0M x 35.0M,CAS 09,Unknown,,,,Yes,"WAN 1
Cox Communications
300.0M x 30.0M
WAN 2
Unknown..."
CAS 10,Primary,Enabled,108.80.216.1,AT&T Broadband II,1000.0M x 1000.0M,CAS 10,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 10,Secondary,Enabled,72.206.95.54,Cox Business/BOI,300.0M x 30.0M,CAS 10,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 11,Primary,Enabled,68.94.116.201,AT&T Broadband II,1000.0M x 200.0M,CAS 11,AT&T Broadband II,1000.0M x 200.0M,AT&T Broadband II,1000.0M x 200.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 200.0M
WAN 2
VZW Cell
Cell..."
CAS 11,Secondary,No Service Available,NaN,NSA,,CAS 11,VZW Cell,Cell,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 200.0M
WAN 2
VZW Cell
Cell..."
CAS 12,Primary,Enabled,104.9.51.57,AT&T Broadband II,1000.0M x 1000.0M,CAS 12,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Digi
Cell..."
CAS 12,Secondary,No Service Available,NaN,NSA,,CAS 12,Digi,Cell,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Digi
Cell..."
CAS 13,Primary,Enabled,174.67.169.247,Cox Business/BOI,300.0M x 30.0M,CAS 13,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,No,
CAS 13,Secondary,Enabled,104.185.80.233,AT&T Broadband II,1000.0M x 1000.0M,CAS 13,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,No,
CAS 14,Primary,Enabled,68.105.244.238,Cox Business/BOI,300.0M x 30.0M,CAS 14,AT&T Broadband II,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 14,Secondary,Enabled,108.250.153.129,AT&T Broadband II,300.0M x 300.0M,CAS 14,Cox Business/BOI,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 15,Primary,Enabled,108.201.145.89,AT&T Broadband II,1000.0M x 1000.0M,CAS 15,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Verizon Business..."
CAS 15,Secondary,Order Canceled,NaN,Spectrum,600.0M x 35.0M,CAS 15,Verizon Business,Cell,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Verizon Business..."
CAS 16,Primary,Enabled,98.173.33.135,Cox Business,1000.0M x 35.0M,CAS 16,Cox Communications,1000.0M x 35.0M,Cox Business,1000.0M x 35.0M,Yes,"WAN 1
Cox Communications
1000.0M x 35.0M
WAN 2
Accelerated..."
CAS 16,Secondary,Order Canceled,NaN,NaN,,CAS 16,Accelerated,Cell,,,Yes,"WAN 1
Cox Communications
1000.0M x 35.0M
WAN 2
Accelerated..."
CAS 17,Primary,Enabled,68.15.26.234,Cox Business/BOI,300.0M x 30.0M,CAS 17,Cox Communications,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Communications
300.0M x 30.0M
WAN 2
Digi
Cell..."
CAS 17,Secondary,Customer Action Required,NaN,AT&T Broadband II,1000.0M x 1000.0M,CAS 17,Digi,Cell,,,Yes,"WAN 1
Cox Communications
300.0M x 30.0M
WAN 2
Digi
Cell..."
CAS 18,Primary,Enabled,68.105.250.171,Cox Business/BOI,300.0M x 30.0M,CAS 18,AT&T Broadband II,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 18,Secondary,Enabled,104.190.5.209,AT&T Broadband II,1000.0M x 1000.0M,CAS 18,Cox Business/BOI,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 19,Primary,Enabled,98.173.43.218,Cox Business/BOI,300.0M x 30.0M,CAS 19,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
Digi
Cell..."
CAS 19,Secondary,No Service Available,NaN,NSA,,CAS 19,Digi,Cell,,,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
Digi
Cell..."
CAS 20,Primary,Enabled,76.83.53.58,Spectrum,300.0M x 10.0M,CAS 20,Spectrum,200.0M x 10.0M,Spectrum,300.0M x 10.0M,Yes,WAN 1\nSpectrum\n300.0M x 30.0M\nWAN 2\nVerizon Business...
CAS 20,Secondary,No Service Available,NaN,NSA,,CAS 20,Verizon Business,Cell,,,Yes,WAN 1\nSpectrum\n300.0M x 30.0M\nWAN 2\nVerizon Business...
CAS 21,Primary,Enabled,76.53.129.210,Spectrum,750.0M x 35.0M,CAS 21,Charter Communications Inc,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Charter Communications Inc
WAN 2
AT&T Enterprises, LLC..."
CAS 21,Secondary,No Service Available,NaN,NSA,,CAS 21,"AT&T Enterprises, LLC",,,,Yes,"WAN 1
Charter Communications Inc
WAN 2
AT&T Enterprises, LLC..."
CAS 22,Primary,Enabled,98.189.80.12,Cox Business/BOI,300.0M x 30.0M,CAS 22,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,WAN 1\nCox Business/BOI\n300.0M x 30.0M\nWAN 2\nAT&T Broadband II\n300.0M x 300.0M...
CAS 22,Secondary,Enabled,108.92.93.121,AT&T Broadband II,300.0M x 300.0M,CAS 22,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,WAN 1\nCox Business/BOI\n300.0M x 30.0M\nWAN 2\nAT&T Broadband II\n300.0M x 300.0M...
CAS 23,Primary,Enabled,76.53.240.54,Spectrum,750.0M x 35.0M,CAS 23,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
CAS 23,Secondary,Enabled,99.85.49.65,AT&T Broadband II,300.0M x 300.0M,CAS 23,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
CAS 24,Primary,Enabled,173.198.38.138,Spectrum,750.0M x 35.0M,CAS 24,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
CAS 24,Secondary,Enabled,104.13.227.217,AT&T Broadband II,300.0M x 300.0M,CAS 24,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
CAS 25,Primary,Enabled,24.43.80.98,Spectrum,1000.0M x 50.0M,CAS 25,AT&T Broadband II,940.0M x 35.0M,Spectrum,1000.0M x 50.0M,Yes,WAN 1\nAT&T Broadband II\n1000.0M x 1000.0M\nWAN 2\nSpectrum\n1000.0M x 50.0M...
CAS 25,Secondary,Enabled,108.80.80.249,AT&T Broadband II,1000.0M x 1000.0M,CAS 25,Spectrum,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,WAN 1\nAT&T Broadband II\n1000.0M x 1000.0M\nWAN 2\nSpectrum\n1000.0M x 50.0M...
CAS 27,Primary,Enabled,98.189.219.228,Cox Business/BOI,300.0M x 30.0M,CAS 27,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
CAS 27,Secondary,Enabled,108.201.233.185,AT&T Broadband II,300.0M x 300.0M,CAS 27,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
CAS 28,Primary,Enabled,68.15.9.83,Cox Business/BOI,300.0M x 30.0M,CAS 28,AT&T Broadband II,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 28,Secondary,Enabled,75.26.3.233,AT&T Broadband II,1000.0M x 1000.0M,CAS 28,Cox Business/BOI,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 31,Primary,Enabled,47.180.146.117,Frontier Fios,500.0M x 500.0M,CAS 31,Frontier Fios,500.0M x 500.0M,Frontier Fios,500.0M x 500.0M,Yes,"WAN 1
Frontier Fios
500.0M x 500.0M
WAN 2
Spectrum
600.0M x 35.0M..."
CAS 31,Secondary,Enabled,45.59.218.178,Spectrum,600.0M x 35.0M,CAS 31,Spectrum,600.0M x 35.0M,Spectrum,600.0M x 35.0M,Yes,"WAN 1
Frontier Fios
500.0M x 500.0M
WAN 2
Spectrum
600.0M x 35.0M..."
CAS 32,Primary,Enabled,98.153.138.150,Spectrum,750.0M x 35.0M,CAS 32,DSR Comcast,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
DSR Comcast
750.0M x 35.0M
WAN 2
Verizon Business..."
CAS 32,Secondary,No Service Available,NaN,NSA,,CAS 32,Verizon Business,Cell,,,Yes,"WAN 1
DSR Comcast
750.0M x 35.0M
WAN 2
Verizon Business..."
CAS 33,Primary,Enabled,98.153.179.158,Spectrum,750.0M x 35.0M,CAS 33,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
600.0M x 35.0M
WAN 2
VZW Cell
Cell..."
CAS 33,Secondary,No Service Available,NaN,NSA,,CAS 33,VZW Cell,Cell,,,Yes,"WAN 1
Spectrum
600.0M x 35.0M
WAN 2
VZW Cell
Cell..."
CAS 34,Primary,Enabled,68.15.15.104,Cox Business/BOI,300.0M x 30.0M,CAS 34,AT&T Broadband II,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 34,Secondary,Enabled,45.31.45.129,AT&T Broadband II,1000.0M x 1000.0M,CAS 34,Cox Business/BOI,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 35,Primary,Order Canceled,NaN,Spectrum,600.0M x 35.0M,CAS 35,Frontier Communications,500.0 M,,,Yes,WAN 1\nFrontier Communications\n500.0M x 500.0M\nWAN 2\nVZW Cell\nCell...
CAS 36,Primary,Enabled,76.81.227.222,Spectrum,750.0M x 35.0M,CAS 36,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
600.0M x 35.0M
WAN 2
Digi
Cell..."
CAS 36,Secondary,No Service Available,NaN,NSA,,CAS 36,Digi,Cell,,,Yes,"WAN 1
Spectrum
600.0M x 35.0M
WAN 2
Digi
Cell..."
CAS 37,Primary,Enabled,184.189.109.141,Cox Business/BOI,300.0M x 30.0M,CAS 37,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
Verizon Business..."
CAS 37,Secondary,Customer Action Required,NaN,AT&T Broadband II,1000.0M x 1000.0M,CAS 37,Verizon Business,Cell,,,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
Verizon Business..."
CAS 38,Primary,Enabled,184.189.110.7,Cox Business/BOI,300.0M x 30.0M,CAS 38,AT&T Broadband II,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 38,Secondary,Enabled,107.130.10.153,AT&T Broadband II,1000.0M x 1000.0M,CAS 38,Cox Business/BOI,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
CAS 39,Primary,Enabled,173.198.38.142,Spectrum,750.0M x 35.0M,CAS 39,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
CAS 39,Secondary,Enabled,104.190.2.81,AT&T Broadband II,300.0M x 300.0M,CAS 39,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
CAS 40,Primary,No Service Available,NaN,NSA ,,CAS 40,Frontier Communications,500.0 M,,,Yes,"WAN 1
Frontier Communications
500.0M x 50.0M
WAN 2
Digi
Cell..."
CAS 41,Primary,No Service Available,NaN,NSA,,CAS 41,Frontier Communications,500.0 M,,,Yes,"WAN 1
Frontier Communications
500.0M x 500.0M
WAN 2
VZW Cell
Cell..."
CAS 43,Primary,Enabled,69.75.186.178,Spectrum,750.0M x 35.0M,CAS 43,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
CAS 43,Secondary,Enabled,76.210.254.185,AT&T Broadband II,300.0M x 300.0M,CAS 43,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Spectrum
750.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
CAS 44,Primary,Enabled,69.75.66.142,Spectrum,750.0M x 35.0M,CAS 44,AT&T Broadband II,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,WAN 1\nAT&T Broadband II\n300.0M x 300.0M\nWAN 2\nSpectrum\n750.0M x 35.0M...
CAS 44,Secondary,Enabled,104.59.74.145,AT&T Broadband II,300.0M x 300.0M,CAS 44,Spectrum,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,WAN 1\nAT&T Broadband II\n300.0M x 300.0M\nWAN 2\nSpectrum\n750.0M x 35.0M...
CAS 45,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,CAS 45,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II	
1000.0M x 1000.0M
WAN 2
Digi
Cell..."
CAS 45,Secondary,Enabled,162.196.235.249,AT&T Broadband II,1000.0M x 1000.0M,CAS 45,Digi,Cell,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II	
1000.0M x 1000.0M
WAN 2
Digi
Cell..."
CAS 46,Secondary,Order Canceled,NaN,Spectrum,600.0M x 35.0M,CAS 46,VZW Cell,Cell,,,Yes,"WAN 1
AT&T
20.0M x 20.0M
WAN 2
VZW Cell
Cell..."
CAS 47,Primary,Enabled,99.47.87.137,AT&T Broadband II,1000.0M x 200.0M,CAS 47,AT&T Broadband II,1000.0M x 200.0M,AT&T Broadband II,1000.0M x 200.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 200.0M
WAN 2
Digi
Cell..."
CAS 47,Secondary,Customer Action Required,NaN,Cox Business,100.0M x 100.0M,CAS 47,Digi,Cell,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 200.0M
WAN 2
Digi
Cell..."
CAS 48,Primary,Enabled,47.180.235.173,EB2-Frontier Fiber,500.0M x 500.0M,CAS 48,Frontier Communications,500.0M x 500.0M,EB2-Frontier Fiber,500.0M x 500.0M,Yes,"WAN 1
Frontier Communications
500.0M x 500.0M
WAN 2
Verizon Business..."
CAS 48,Secondary,Order Canceled,NaN,NaN,,CAS 48,Verizon Business,Cell,,,Yes,"WAN 1
Frontier Communications
500.0M x 500.0M
WAN 2
Verizon Business..."
CAS 49,Primary,Enabled,76.53.67.30,Spectrum,750.0M x 35.0M,CAS 49,Spectrum,600.0M x 35.0M,Spectrum,750.0M x 35.0M,Yes,WAN 1\nSpectrum\n600.0M x 35.0M\nWAN 2\nStarlink\nSatellite...
CAS 49,Secondary,No Service Available,NaN,NSA,,CAS 49,Starlink,Satellite,,,Yes,WAN 1\nSpectrum\n600.0M x 35.0M\nWAN 2\nStarlink\nSatellite...
CAS 50,Primary,Enabled,47.180.196.75,GTT Ethernet,200.0M x 200.0M,CAS 50,EB2-Frontier Fiber,50.0M x 10.0M,GTT Ethernet,200.0M x 200.0M,Yes,"WAN 1
EB2-Frontier Fiber
500.0M x 500.0M
WAN 2
GTT Ethernet
200.0M x 200.0M..."
CAS 50,Secondary,Enabled,47.181.172.127,EB2-Frontier Fiber,500.0M x 500.0M,CAS 50,GTT Ethernet,500.0M x 500.0M,EB2-Frontier Fiber,500.0M x 500.0M,Yes,"WAN 1
EB2-Frontier Fiber
500.0M x 500.0M
WAN 2
GTT Ethernet
200.0M x 200.0M..."
CAS 51,Primary,Enabled,68.15.20.182,Cox Business/BOI ,300.0M x 30.0M,CAS 51,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI ,300.0M x 30.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
AT&T Broadband II
1000.0M x 1000.0M..."
CAS 51,Secondary,Enabled,76.199.106.113,AT&T Broadband II,1000.0M x 1000.0M,CAS 51,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
AT&T Broadband II
1000.0M x 1000.0M..."
CAS 53,Primary,Enabled,75.60.234.33,AT&T Broadband II,2000.0M x 2000.0M,CAS 53,AT&T Broadband II,2000.0M x 2000.0M,AT&T Broadband II,2000.0M x 2000.0M,Yes,"WAN 1
AT&T Broadband II
2000.0M x 2000.0M
WAN 2
Cox Business/BOI
300.0M x 30.0M..."
CAS 53,Secondary,Enabled,174.77.167.8,Cox Business/BOI,300.0M x 30.0M,CAS 53,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
2000.0M x 2000.0M
WAN 2
Cox Business/BOI
300.0M x 30.0M..."
COB 01,Primary,Enabled,50.211.228.33,Comcast Workplace,750.0M x 35.0M,COB 01,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
EB2-Centurylink DSL
100.0M x 10.0M..."
COB 01,Secondary,Enabled,67.40.41.89,EB2-Centurylink DSL,100.0M x 10.0M,COB 01,EB2-Centurylink DSL,100.0M x 10.0M,EB2-Centurylink DSL,100.0M x 10.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
EB2-Centurylink DSL
100.0M x 10.0M..."
COD 01,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 01,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Verizon Business..."
COD 01,Secondary,Order Canceled,NaN,NaN,,COD 01,Verizon Business,Cell,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Verizon Business..."
COD 02,Primary,Enabled,96.76.171.13,Comcast Workplace,300.0M x 25.0M,COD 02,Comcast Workplace,250.0M x 25.0M,Comcast Workplace,300.0M x 25.0M,Yes,"WAN 1
Comcast Workplace
300.0M x 30.0M
WAN 2
Digi
Cell..."
COD 02,Secondary,No Service Available,NaN,NSA,,COD 02,Digi,Cell,,,Yes,"WAN 1
Comcast Workplace
300.0M x 30.0M
WAN 2
Digi
Cell..."
COD 03,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 03,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown..."
COD 03,Secondary,No Service Available,NaN,NSA,,COD 03,Unknown,,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown..."
COD 04,Primary,Enabled,50.190.67.161,Comcast Workplace,750.0M x 35.0M,COD 04,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
600.0M x 35.0M
WAN 2
VZW Cell
Cell..."
COD 04,Secondary,No Service Available,NaN,NSA,,COD 04,VZW Cell,Cell,,,Yes,"WAN 1
Comcast Workplace
600.0M x 35.0M
WAN 2
VZW Cell
Cell..."
COD 05,Primary,Enabled,70.89.171.173,Comcast Workplace,750.0M x 35.0M,COD 05,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
Comcast Workplace
750.0M x 35.0M..."
COD 05,Secondary,No Service Available,NaN,NSA,,COD 05,Comcast Workplace,750.0 M,,,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
Comcast Workplace
750.0M x 35.0M..."
COD 06,Primary,Enabled,63.231.93.145,Lumen,100.0M x 10.0M,COD 06,CenturyLink,100.0M x 10.0M,Lumen,100.0M x 10.0M,Yes,"WAN 1
CenturyLink
100.0M x 10.0M
WAN 2
Unknown..."
COD 06,Secondary,No Service Available,NaN,NSA,500.0M x 30.0M,COD 06,Unknown,,,,Yes,"WAN 1
CenturyLink
100.0M x 10.0M
WAN 2
Unknown..."
COD 07,Primary,Enabled,50.214.21.189,Comcast Workplace,300.0M x 30.0M,COD 07,Comcast Workplace,250.0M x 25.0M,Comcast Workplace,300.0M x 30.0M,Yes,"WAN 1
Comcast Workplace
250.0M x 25.0M
WAN 2
Digi
Cell..."
COD 07,Secondary,Customer Action Required,NaN,Loveland Pulse,100.0M x 100.0M,COD 07,Digi,Cell,,,Yes,"WAN 1
Comcast Workplace
250.0M x 25.0M
WAN 2
Digi
Cell..."
COD 08,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 08,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown..."
COD 08,Secondary,Order Canceled,NaN,NaN,,COD 08,Unknown,,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown..."
COD 09,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 09,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Unknown..."
COD 09,Secondary,No Service Available,NaN,NSA,,COD 09,Unknown,,,,Yes,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Unknown..."
COD 10,Primary,Enabled,50.190.70.173,Comcast Workplace,500.0M x 30.0M,COD 10,Comcast Workplace,300.0M x 30.0M,Comcast Workplace,500.0M x 30.0M,Yes,"WAN 1
Comcast Workplace
500.0M x 30.0M
WAN 2
Comcast Workplace
500.0M x 30.0M..."
COD 10,Secondary,Order Canceled,NaN,NaN,,COD 10,Comcast Workplace,500.0 M,,,Yes,"WAN 1
Comcast Workplace
500.0M x 30.0M
WAN 2
Comcast Workplace
500.0M x 30.0M..."
COD 11,Primary,Enabled,75.145.115.1,Comcast Workplace,750.0M x 35.0M,COD 11,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
600.0M x 35.0M
WAN 2
VZW Cell
Cell..."
COD 11,Secondary,No Service Available,NaN,NSA,,COD 11,VZW Cell,Cell,,,Yes,"WAN 1
Comcast Workplace
600.0M x 35.0M
WAN 2
VZW Cell
Cell..."
COD 13,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 13,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
VZW Cell
Cell..."
COD 13,Secondary,Order Canceled,NaN,NaN,,COD 13,VZW Cell,Cell,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
VZW Cell
Cell..."
COD 14,Primary,Enabled,50.246.194.125,Comcast Workplace,300.0M x 25.0M,COD 14,Comcast Workplace,250.0M x 25.0M,Comcast Workplace,300.0M x 25.0M,Yes,"WAN 1
Comcast Workplace
250.0M x 25.0M
WAN 2
Unknown..."
COD 14,Secondary,No Service Available,NaN,NSA,,COD 14,Unknown,,,,Yes,"WAN 1
Comcast Workplace
250.0M x 25.0M
WAN 2
Unknown..."
COD 15,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 15,Comcast,,,,Yes,"WAN 1
Comcast
WAN 2
Verizon Business..."
COD 15,Secondary,No Service Available,NaN,NSA,,COD 15,Verizon Business,Cell,,,Yes,"WAN 1
Comcast
WAN 2
Verizon Business..."
COD 17,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 17,Comcast,,,,Yes,"WAN 1
Comcast
WAN 2
VZW Cell
Cell..."
COD 17,Secondary,No Service Available,NaN,NSA,,COD 17,VZW Cell,Cell,,,Yes,"WAN 1
Comcast
WAN 2
VZW Cell
Cell..."
COD 18,Primary,Enabled,50.190.87.25,Comcast Workplace,1200.0M x 35.0M,COD 18,Comcast Workplace,1000.0M x 35.0M,Comcast Workplace,1200.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
1000.0M x 35.0M
WAN 2
VZW Cell
Cell..."
COD 18,Secondary,Prequal Required,NaN,NaN,,COD 18,VZW Cell,Cell,,,Yes,"WAN 1
Comcast Workplace
1000.0M x 35.0M
WAN 2
VZW Cell
Cell..."
COD 19,Primary,Enabled,63.239.214.18,CenturyLink Fiber Plus,500.0M x 500.0M,COD 19,CenturyLink,500.0M x 500.0M,CenturyLink Fiber Plus,500.0M x 500.0M,Yes,"WAN 1
CenturyLink
500.0M x 500.0M
WAN 2
Verizon Business..."
