site_id,site_name,primary_provider,primary_ip,primary_bandwidth
GAE 03,GAE 03,Comcast Workplace,173.163.230.157,250.0M x 25.0M
GAN 01,GAN 01,Comcast Workplace,75.146.81.49,600.0M x 35.0M
GAS 01,GAS 01,Mediacom/BOI,74.84.120.114,1000.0M x 30.0M
IAC 01,IAC 01,Mediacom/BOI,45.59.13.82,1000.0M x 30.0M
IAC 02,IAC 02,Mediacom/BOI,72.255.120.130,1000.0M x 30.0M
IAD 01,IAD 01,Mediacom/BOI,192.119.207.250,1000.0M x 30.0M
IAD 02,IAD 02,Mediacom/BOI,72.255.109.246,300.0M x 20.0M
IAD 03,IAD 03,EB2-Centurylink Fiber,67.41.108.209,500.0M x 100.0M
IAD 04,IAD 04,Mediacom/BOI,72.255.116.186,1000.0M x 30.0M
IAD 05,IAD 05,Mediacom/BOI,107.167.215.206,1000.0M x 30.0M
IAF 01,IAF 01,Mediacom/BOI,198.40.226.150,300.0M x 20.0M
IAI 01,IAI 01,Mediacom/BOI,104.201.99.58,1000.0M x 30.0M
IAN 01,IAN 01,Mediacom/BOI,72.255.114.186,1000.0M x 30.0M
IAN 03,IAN 03,Mediacom/BOI,74.84.121.118,1000.0M x 30.0M
IAQ 01,IAQ 01,Mediacom/BOI,45.59.5.34,300.0M x 20.0M
IAQ 02,IAQ 02,Mediacom/BOI,72.255.79.154,1000.0M x 30.0M
IAS 01,IAS 01,Sparklight,24.119.182.98,300.0M x 30.0M
IDB 01,IDB 01,Cable One ,96.18.66.90,300.0M x 50.0M
IDB 03,IDB 03,EB2-CableOne Cable,69.92.163.142,300.0M x 30.0M
IDB 04,IDB 04,CenturyLink Fiber Plus,65.140.187.146,500.0M x 500.0M
IDB 05,IDB 05,EB2-CableOne Cable,24.117.252.114,300.0M x 30.0M
IDB 06,IDB 06,EB2-CableOne Cable,24.116.129.22,300.0M x 50.0M
IDB 07,IDB 07,EB2-CableOne Cable,24.117.183.106,300.0M x 30.0M
IDN 01,IDN 01,Spectrum,24.123.118.30,600.0M x 35.0M
ILC00,ILC00,Comcast Workplace,96.74.249.185,300.0M x 30.0M
ILC 03,ILC 03,Comcast Workplace,173.15.46.121,250.0M x 25.0M
ILC 05,ILC 05,Comcast Workplace,50.249.209.161,600.0M x 35.0M
ILC 07,ILC 07,Comcast Workplace,96.81.204.185,600.0M x 35.0M
ILC 08,ILC 08,Comcast Workplace,75.146.110.61,600.0M x 35.0M
ILC 13,ILC 13,Comcast Workplace,96.90.104.229,600.0M x 35.0M
ILC 14,ILC 14,Comcast Workplace,96.72.69.113,600.0M x 35.0M
ILC 16,ILC 16,Comcast Workplace,50.254.12.245,600.0M x 35.0M
ILC 17,ILC 17,Comcast Workplace,162.17.19.41,600.0M x 35.0M
ILC 21,ILC 21,AT&T Broadband II,45.20.166.73,1000.0M x 200.0M
ILC 22,ILC 22,Comcast Workplace,75.146.107.81,600.0M x 35.0M
ILC 25,ILC 25,Comcast Workplace,173.161.84.205,600.0M x 35.0M
ILC 27,ILC 27,Comcast Workplace,162.17.14.217,600.0M x 35.0M
ILC 30,ILC 30,Comcast Workplace,173.15.49.97,600.0M x 35.0M
ILC 32,ILC 32,Comcast Workplace,96.70.42.113,600.0M x 35.0M
ILC 33,ILC 33,AT&T Broadband II,99.76.24.121,1000.0M x 200.0M
ILC 34,ILC 34,AT&T Broadband II,108.233.6.49,300.0M x 300.0M
ILC 35,ILC 35,Comcast Workplace,96.90.119.25,600.0M x 35.0M
ILC 36,ILC 36,Comcast Workplace,96.65.73.197,300.0M x 30.0M
ILC 37,ILC 37,Comcast Workplace,96.81.242.229,600.0M x 35.0M
ILR01,ILR01,Comcast Workplace,74.94.116.73,600.0M x 35.0M
ILR 02,ILR 02,Comcast Workplace,173.9.227.189,250.0M x 25.0M
ILS 01,ILS 01,Comcast Workplace,173.15.45.97,600.0M x 35.0M
ILW 01,ILW 01,Spectrum,68.188.19.150,600.0M x 35.0M
ILW 02,ILW 02,Spectrum,97.86.173.134,600.0M x 35.0M
ILX 01,ILX 01,Comcast Workplace,173.165.103.213,250.0M x 25.0M
INC 01,INC 01,Comcast Workplace,96.65.67.77,600.0M x 35.0M
INC 02,INC 02,Comcast Workplace,75.150.222.109,600.0M x 35.0M
INC 03,INC 03,Comcast Workplace,96.95.113.13,600.0M x 35.0M
INE 01,INE 01,Astound,207.180.180.10,500.0M x 20.0M
INE 02,INE 02,AT&T Broadband II,104.181.53.201,1000.0M x 200.0M
INF 03,INF 03,Comcast Workplace,173.15.90.217,250.0M x 25.0M
INF 04,INF 04,GTT Ethernet,50.102.128.2,50.0M x 10.0M
INI 01,INI 01,AT&T Broadband II,104.4.44.153,1000.0M x 1000.0M
INI 02,INI 02,Comcast Workplace,96.85.177.225,600.0M x 35.0M
INI 06,INI 06,Comcast Workplace,96.79.81.149,600.0M x 35.0M
INI 07,INI 07,Spectrum,24.123.208.98,600.0M x 35.0M
INI 08,INI 08,Comcast Workplace,96.90.27.121,600.0M x 35.0M
INI 10,INI 10,AT&T Broadband II,75.61.116.25,1000.0M x 1000.0M
INI 12,INI 12,Comcast Workplace,96.94.237.121,600.0M x 35.0M
INI 13,INI 13,Comcast Workplace,50.212.144.125,250.0M x 25.0M
INI 14,INI 14,Comcast Workplace,96.94.231.173,600.0M x 35.0M
INI 15,INI 15,Comcast Workplace,96.82.60.17,600.0M x 35.0M
INI 16,INI 16,Comcast Workplace,96.85.176.197,600.0M x 35.0M
INIW00,INIW00,Comcast Workplace,50.195.198.237,250.0M x 25.0M
INJ 01,INJ 01,Spectrum,71.66.34.26,600.0M x 35.0M
INL 01,INL 01,Comcast Workplace,96.82.50.57,600.0M x 35.0M
INN 01,INN 01,Comcast Workplace,96.95.126.105,600.0M x 35.0M
INW 03,INW 03,Comcast Workplace,173.165.49.113,600.0M x 35.0M
KONFARA,KONFARA,Cox Business/BOI,70.175.22.38,500.0M x 50.0M
KSK00N,KSK00N,Spectrum,150.220.245.70,300.0M x 20.0M
KSK 02,KSK 02,Spectrum,98.100.123.146,600.0M x 35.0M
KSK 03,KSK 03,Spectrum,74.62.160.234,600.0M x 35.0M
KSK 04,KSK 04,Spectrum,74.62.164.206,600.0M x 35.0M
KSK 05,KSK 05,Comcast Workplace,70.88.84.245,300.0M x 30.0M
KSK 06,KSK 06,Spectrum,72.131.218.210,600.0M x 35.0M
KSL 01,KSL 01,Midcontinent,24.124.116.54,500.0M x 50.0M
KSM 01,KSM 01,Cox Business/BOI,72.205.196.166,300.0M x 30.0M
KSM 02,KSM 02,Cox Business/BOI,68.99.117.157,300.0M x 30.0M
KST 01,KST 01,AT&T Broadband II,162.228.253.137,1000.0M x 1000.0M
KSW 01,KSW 01,Cox Business/BOI,72.200.247.28,300.0M x 30.0M
KSW 02,KSW 02,Cox Business/BOI,184.187.231.235,300.0M x 30.0M
KSW 03,KSW 03,Cox Business/BOI,70.163.33.102,300.0M x 30.0M
KYB 01,KYB 01,Spectrum,74.143.198.194,600.0M x 35.0M
KYE 01,KYE 01,Comcast Workplace,75.148.61.125,250.0M x 25.0M
KYL 01,KYL 01,Spectrum,70.60.43.18,940.0M x 35.0M
KYL 02,KYL 02,Spectrum,24.106.90.178,600.0M x 35.0M
KYL 03,KYL 03,Spectrum,98.123.3.126,600.0M x 35.0M
KYN 00,KYN 00,Cincinnati Bell,66.42.186.206,400.0M x 200.0M
LAB 01,LAB 01,Cox Business/BOI,68.96.156.235,300.0M x 30.0M
LAB 02,LAB 02,Cox Business/BOI,68.96.147.246,300.0M x 30.0M
LAB 03,LAB 03,Cox Business/BOI,72.215.247.249,300.0M x 30.0M
LAB 04,LAB 04,AT&T Broadband II,99.26.78.105,1000.0M x 1000.0M
LAB 06,LAB 06,AT&T Broadband II,99.76.204.153,1000.0M x 1000.0M
LAS 01,LAS 01,Comcast Workplace,198.0.21.249,600.0M x 35.0M
LAS 02,LAS 02,Altice West,66.76.161.89,500.0M x 50.0M
LAS 03,LAS 03,AT&T Broadband II,NaN,1000.0M x 1000.0M
MIA00,MIA00,Comcast Workplace,50.252.88.137,600.0M x 35.0M
MIA 01,MIA 01,Comcast Workplace,96.76.228.17,250.0M x 25.0M
MIA 04,MIA 04,Comcast Workplace,96.66.59.149,250.0M x 25.0M
MIA 16,MIA 16,Comcast Workplace,162.17.131.57,300.0M x 30.0M
MIAC02,MIAC02,AT&T Broadband II,108.85.98.249,1000.0M x 200.0M
MIB 01,MIB 01,Comcast Workplace,173.13.12.141,300.0M x 30.0M
MID 01,MID 01,Spectrum,24.172.185.102,600.0M x 35.0M
MID 04,MID 04,Comcast Workplace,70.88.123.209,300.0M x 30.0M
MID 06,MID 06,Comcast Workplace,96.76.242.241,600.0M x 35.0M
MID 10,MID 10,Spectrum,131.148.165.98,940.0M x 35.0M
MID 11,MID 11,Comcast Workplace,162.17.137.105,600.0M x 35.0M
MID 12,MID 12,Comcast Workplace,50.197.115.1,600.0M x 35.0M
MID 20,MID 20,Comcast Workplace,173.14.56.41,300.0M x 30.0M
MID 22,MID 22,Comcast Workplace,75.147.228.165,600.0M x 35.0M
MID 23,MID 23,Comcast Workplace,75.145.232.69,600.0M x 35.0M
MID 25,MID 25,Comcast Workplace,50.77.235.41,300.0M x 30.0M
MID 26,MID 26,Comcast Workplace,96.66.29.189,600.0M x 35.0M
MID 27,MID 27,Spectrum,47.50.24.46,600.0M x 35.0M
MIF 25,MIF 25,Spectrum,47.50.11.14,940.0M x 35.0M
MIF 26,MIF 26,Comcast Workplace,96.85.104.161,600.0M x 35.0M
MIG 08,MIG 08,Comcast Workplace,173.167.20.17,300.0M x 30.0M
MIG 09,MIG 09,Comcast Workplace,96.80.209.81,600.0M x 35.0M
MIG 23,MIG 23,Comcast Workplace,173.13.5.193,600.0M x 35.0M
MIG 24,MIG 24,Comcast Workplace,173.162.52.189,300.0M x 30.0M
MIG 29,MIG 29,Spectrum,47.50.106.18,600.0M x 35.0M
MIG 30,MIG 30,Comcast Workplace,75.144.75.53,600.0M x 35.0M
MIH 27,MIH 27,Comcast Workplace,96.64.20.101,600.0M x 35.0M
MIHW00,MIHW00,Comcast Workplace,173.167.236.165,250.0M x 25.0M
MIK 06,MIK 06,Spectrum,47.50.92.186,600.0M x 35.0M
MIK 14,MIK 14,Spectrum,24.180.122.254,600.0M x 35.0M
MIK 30,MIK 30,Comcast Workplace,75.151.13.237,300.0M x 30.0M
MIK 31,MIK 31,Spectrum,97.86.65.38,600.0M x 35.0M
MIL 00,MIL 00,Comcast Workplace,173.15.250.73,250.0M x 25.0M
MIL 11,MIL 11,Comcast Workplace,50.245.105.77,250.0M x 25.0M
MIL 28,MIL 28,Comcast Direct,nan,
MIM 01,MIM 01,Spectrum,71.13.110.74,940.0M x 35.0M
MIN 01,MIN 01,Spectrum,66.188.41.46,300.0M x 20.0M
MIP 01,MIP 01,Spectrum,66.188.28.62,600.0M x 35.0M
MIS 12,MIS 12,Spectrum,47.50.120.198,600.0M x 35.0M
MIS 17,MIS 17,Spectrum,24.231.193.218,600.0M x 35.0M
MIS 20,MIS 20,Spectrum,24.231.194.158,600.0M x 35.0M
MIT 26,MIT 26,Spectrum,97.86.93.230,600.0M x 35.0M
MNM 00 New,MNM 00,Comcast Workplace,173.165.242.141,600.0M x 35.0M
MNM 01,MNM 01,Comcast Workplace,50.209.23.197,600.0M x 35.0M
MNM 06,MNM 06,Comcast Workplace,75.146.165.229,600.0M x 35.0M
MNM 07,MNM 07,Comcast Workplace,96.93.241.101,600.0M x 35.0M
MNM 08,MNM 08,Comcast Workplace,50.212.182.85,250.0M x 25.0M
MNM 10,MNM 10,Comcast Workplace,96.87.155.65,250.0M x 25.0M
MNM 12,MNM 12,Spectrum,24.181.149.18,600.0M x 35.0M
MNM 13,MNM 13,Comcast Workplace,50.209.16.33,600.0M x 35.0M
MNM 14,MNM 14,Comcast Workplace,50.211.22.161,600.0M x 35.0M
MNM 15,MNM 15,Spectrum,66.191.136.66,600.0M x 35.0M
MNM 17,MNM 17,Comcast Workplace,96.75.137.93,600.0M x 35.0M
MNM 18,MNM 18,Comcast Workplace,50.209.29.89,600.0M x 35.0M
MNM 19,MNM 19,MetroNet,195.252.240.66,300.0M x 300.0M
MNM 20,MNM 20,Spectrum,24.196.62.150,600.0M x 35.0M
MNM 21,MNM 21,Comcast Workplace,173.8.127.65,250.0M x 25.0M
MNM 22,MNM 22,Spectrum,47.49.101.114,940.0M x 35.0M
MNM 23,MNM 23,Spectrum,24.181.150.230,600.0M x 35.0M
MNM 26,MNM 26,Comcast Workplace,50.211.25.85,600.0M x 35.0M
MNM 27,MNM 27,CenturyLink Fiber Plus,65.125.124.178,500.0M x 500.0M
MNM 31,MNM 31,Comcast Workplace,70.89.198.5,300.0M x 30.0M
MNMW01,MNMW01,Comcast Workplace,50.211.20.237,600.0M x 35.0M
MOK 01,MOK 01,Spectrum,98.100.117.174,600.0M x 35.0M
MOK 02,MOK 02,Spectrum,70.115.87.122,600.0M x 35.0M
MOK 03,MOK 03,Spectrum,70.115.81.26,600.0M x 35.0M
MOK 05,MOK 05,Comcast Workplace,70.91.182.209,600.0M x 35.0M
MOK 06,MOK 06,Comcast Workplace,50.240.67.221,600.0M x 35.0M
MOK 07,MOK 07,Spectrum ,70.115.24.82,600.0M x 35.0M
MON 01,MON 01,Altice West,66.76.79.145,500.0M x 50.0M
MOO 02,MOO 02,Mediacom/BOI,72.255.84.218,1000.0M x 30.0M
MOO 03,MOO 03,Mediacom/BOI,64.237.17.58,1000.0M x 30.0M
MOR 01,MOR 01,Fidelity Communications,149.76.254.206,350.0M x 20.0M
MOS 00,MOS 00,Spectrum,24.182.253.114,600.0M x 35.0M
MOS 01,MOS 01,Spectrum,97.87.195.122,600.0M x 35.0M
MOS 02,MOS 02,AT&T Broadband II,108.192.139.137,300.0M x 300.0M
MOS 03,MOS 03,Spectrum,68.188.35.194,300.0M x 20.0M
MOS 04,MOS 04,Spectrum,68.188.105.222,600.0M x 35.0M
MOS 05,MOS 05,Spectrum,71.86.47.194,940.0M x 35.0M
MOS 06,MOS 06,AT&T Broadband II,104.8.211.201,200.0M x 40.0M
MOS 07,MOS 07,AT&T Broadband II,107.209.41.193,1000.0M x 200.0M
MOS 08,MOS 08,Spectrum,24.241.105.158,600.0M x 35.0M
MOS 09,MOS 09,Spectrum,97.87.146.162,600.0M x 35.0M
MOS 10,MOS 10,Spectrum,24.241.104.110,600.0M x 35.0M
MOS 12,MOS 12,Spectrum,47.50.179.106,600.0M x 35.0M
MOS XX,MOS XX,Spectrum,47.50.140.114,600.0M x 35.0M
MSN 01,MSN 01,Comcast Workplace,173.166.199.197,600.0M x 35.0M
MSN 02,MSN 02,C Spire,173.235.182.210,300.0M x 300.0M
MTB 01,MTB 01,Spectrum ,47.47.128.254,600.0M x 35.0M
MTM 01,MTM 01,Spectrum,47.47.186.114,600.0M x 35.0M
MTM 02,MTM 02,Spectrum,137.26.72.118,600.0M x 35.0M
NCC 01,NCC 01,Spectrum,173.95.192.126,600.0M x 35.0M
NCC 02,NCC 02,Spectrum,24.199.234.50,600.0M x 35.0M
NCC 03,NCC 03,Spectrum,98.101.86.162,600.0M x 35.0M
NCC 04,NCC 04,Spectrum,66.57.20.130,600.0M x 35.0M
NCC 05,NCC 05,Spectrum,173.42.44.150,600.0M x 35.0M
NCC 06,NCC 06,Spectrum,66.57.131.38,600.0M x 35.0M
NCC 07,NCC 07,Spectrum,173.42.17.126,600.0M x 35.0M
NCC 08,NCC 08,AT&T Broadband II,76.248.76.1,1000.0M x 1000.0M
NCC 09,NCC 09,Spectrum,96.10.9.82,940.0M x 35.0M
NCC 10,NCC 10,Spectrum,24.142.198.110,600.0M x 35.0M
NCC 11,NCC 11,Spectrum,173.42.50.70,600.0M x 35.0M
NCC 13,NCC 13,Spectrum,173.42.50.90,600.0M x 35.0M
NCC 14,NCC 14,Spectrum,173.42.60.10,600.0M x 35.0M
NCC 15,NCC 15,Spectrum,70.62.83.50,600.0M x 35.0M
NCC 16,NCC 16,Spectrum,74.218.243.174,600.0M x 35.0M
NCC 17,NCC 17,Spectrum,70.63.77.82,600.0M x 35.0M
NCC 18,NCC 18,Spectrum,24.199.211.46,600.0M x 35.0M
NCC 19,NCC 19,Spectrum,173.42.50.78,600.0M x 35.0M
NCC 20 -B,NCC 20,Spectrum,66.57.129.46,600.0M x 35.0M
NCC 21,NCC 21,Spectrum,173.42.50.74,600.0M x 35.0M
NCC 23,NCC 23,Spectrum,173.42.94.202,600.0M x 35.0M
NCC 24,NCC 24,Spectrum,47.49.183.158,600.0M x 35.0M
NCC 25,NCC 25,Spectrum,24.199.160.230,600.0M x 35.0M
NCC 26,NCC 26,AT&T Broadband II,23.126.1.41,1000.0M x 1000.0M
NCC 27,NCC 27,Spectrum,156.19.62.218,600.0M x 35.0M
NCC 28,NCC 28,Spectrum,144.253.15.46,600.0M x 35.0M
NCC 30,NCC 30,Spectrum,96.10.47.50,600.0M x 35.0M
NCC 33,NCC 33,Spectrum,70.62.110.186,600.0M x 35.0M
NCC 35,NCC 35,Altice,208.180.149.183,500.0M x 50.0M
NCC 36,NCC 36,Spectrum,66.57.79.162,600.0M x 35.0M
NCC 37,NCC 37,Spectrum,174.108.204.246,600.0M x 35.0M
NCC 39,NCC 39,Spectrum,24.172.12.190,600.0M x 35.0M
NCC 40,NCC 40,Spectrum,24.172.234.246,600.0M x 35.0M
NCC 41,NCC 41,Spectrum,173.42.50.238,600.0M x 35.0M
NCC 42,NCC 42,AT&T Broadband II,104.13.12.121,100.0M x 20.0M
NCC 43,NCC 43,Spectrum,47.49.163.174,600.0M x 35.0M
NCC 44,NCC 44,Spectrum,174.99.171.30,600.0M x 35.0M
NCC 45,NCC 45,Spectrum,96.10.113.218,600.0M x 35.0M
NCC 46,NCC 46,Spectrum,70.63.76.162,600.0M x 35.0M
NCC 47,NCC 47,Spectrum,74.219.25.130,600.0M x 35.0M
NCC 51,NCC 51,Altice West,207.192.229.44,100.0M x 10.0M
NCC 52,NCC 52,Spectrum,173.95.111.214,600.0M x 35.0M
NCC W00,NCC W00,Spectrum,66.57.166.218,600.0M x 35.0M
NCN 01,NCN 01,Spectrum,24.172.12.22,600.0M x 35.0M
NDG 01,NDG 01,Midcontinent,24.220.46.162,500.0M x 50.0M
NEG 01,NEG 01,Spectrum,71.8.217.226,600.0M x 35.0M
NEL 01,NEL 01,Spectrum,76.79.25.54,600.0M x 35.0M
NMA00,NMA00,Comcast Workplace,96.64.151.241,300.0M x 30.0M
NMA 01,NMA 01,Comcast Workplace,50.240.15.89,300.0M x 30.0M
NMA 02,NMA 02,Comcast Workplace,50.188.167.53,300.0M x 30.0M
NMA 03,NMA 03,Comcast Workplace,50.77.43.201,600.0M x 35.0M
NMA 04,NMA 04,Comcast Workplace,23.31.114.133,300.0M x 30.0M
NMA 05,NMA 05,Comcast Workplace,173.163.241.109,600.0M x 35.0M
NMA 06,NMA 06,Comcast Workplace,71.25.95.217,300.0M x 30.0M
NMA 07,NMA 07,Comcast Workplace,96.92.66.77,1000.0M x 35.0M
NMA 08,NMA 08,Comcast Workplace,96.77.28.109,600.0M x 35.0M
NMA 09,NMA 09,SparkLight,67.60.99.2,300.0M x 30.0M
NMA 11,NMA 11,TDS Cable,24.49.160.42,300.0M x 30.0M
NMA 12,NMA 12,Comcast Workplace,96.77.26.145,600.0M x 35.0M
NMA Call Center,NMA Call Center,Comcast Workplace,74.92.206.225,600.0M x 35.0M
NMAW00,NMAW00,Comcast Workplace,96.92.78.213,600.0M x 35.0M
NMC 01,NMC 01,Altice West,66.76.20.2,300.0M x 30.0M
NMF 01,NMF 01,Comcast Workplace,23.31.119.25,600.0M x 35.0M
NMH 01,NMH 01,Windstream,184.81.233.98,500.0M x 500.0M
NML 01,NML 01,Comcast Workplace,71.25.90.169,300.0M x 30.0M
NMR 01,NMR 01,Sparklight,24.119.46.66,300.0M x 30.0M
NMS 03,NMS 03,Comcast Workplace,50.213.132.113,250.0M x 25.0M
NNM 09,NNM 09,Comcast Workplace,50.249.116.145,600.0M x 35.0M
NVL000,NVL000,Cox Business/BOI,24.234.187.243,300.0M x 30.0M
NVL 03,NVL 03,Cox Business/BOI,174.67.84.78,300.0M x 30.0M
NVL 04,NVL 04,Cox Business/BOI,174.75.33.72,300.0M x 30.0M
NVL 05,NVL 05,Cox Business/BOI,24.234.148.98,300.0M x 30.0M
NVL 06,NVL 06,Cox Business/BOI,24.234.31.50,300.0M x 30.0M
NVL 08,NVL 08,CenturyLink Fiber Plus,65.153.152.146,500.0M x 500.0M
NVL 09,NVL 09,Cox Business/BOI,24.234.158.114,300.0M x 30.0M
NVL 11,NVL 11,Cox Business/BOI,174.71.227.27,300.0M x 30.0M
NVL 13,NVL 13,Cox Business/BOI,98.180.231.172,300.0M x 30.0M
NVL 14,NVL 14,Cox Business/BOI,24.234.115.121,300.0M x 30.0M
NVL 17,NVL 17,Cox Business/BOI,68.1.199.169,300.0M x 30.0M
NVL 22,NVL 22,Cox Business/BOI,98.180.225.154,300.0M x 30.0M
NVL 23,NVL 23,Cox Business/BOI,184.176.163.195,300.0M x 30.0M
NVL 24,NVL 24,Cox Business/BOI,174.67.82.218,300.0M x 30.0M
NVL 25,NVL 25,CenturyLink Fiber Plus,65.140.77.202,500.0M x 500.0M
NVL 26,NVL 26,Cox Business/BOI,24.234.138.82,300.0M x 30.0M
NVLW 01,NVLW 01,Cox Business/BOI,24.120.171.73,300.0M x 30.0M
NVR 01,NVR 01,Spectrum,47.48.75.78,600.0M x 35.0M
NVR 02,NVR 02,Spectrum,97.92.107.50,600.0M x 35.0M
NVR 04,NVR 04,Spectrum,68.190.176.202,600.0M x 35.0M
NVR 05,NVR 05,Spectrum,24.176.187.90,600.0M x 35.0M
OHC 03,OHC 03,Spectrum,74.87.216.206,600.0M x 35.0M
OHC 04,OHC 04,Spectrum,24.106.248.118,600.0M x 35.0M
OHC 05,OHC 05,Spectrum,98.100.57.174,600.0M x 35.0M
OHC 06,OHC 06,Spectrum,147.0.109.194,600.0M x 35.0M
OHC 07,OHC 07,Spectrum,74.142.94.158,600.0M x 35.0M
OHC 08,OHC 08,Spectrum,98.100.62.186,600.0M x 35.0M
OHC 10,OHC 10,Spectrum,173.198.38.138,600.0M x 35.0M
OHD 02,OHD 02,Spectrum,98.102.180.10,600.0M x 35.0M
OHD 03,OHD 03,Spectrum,74.219.228.166,940.0M x 35.0M
OHD 04,OHD 04,Spectrum,74.143.122.162,600.0M x 35.0M
OHL 01,OHL 01,Spectrum,98.102.18.154,600.0M x 35.0M
OHN 01,OHN 01,Spectrum,24.56.64.170,600.0M x 35.0M
OHN 02,OHN 02,AT&T Broadband II,107.211.81.177,1000.0M x 200.0M
OHN 03,OHN 03,Spectrum,67.53.174.202,600.0M x 35.0M
OHN 04,OHN 04,Windstream,64.24.227.230,400.0M x 400.0M
OHN 05,OHN 05,Spectrum,74.143.158.26,600.0M x 35.0M
OHN 06,OHN 06,Armstrong Cable,24.101.188.52,300.0M x 300.0M
OHS 01,OHS 01,Spectrum,70.62.144.78,600.0M x 35.0M
OHS 02,OHS 02,Spectrum,24.142.129.2,600.0M x 35.0M
OHS 03,OHS 03,Spectrum,71.67.62.174,600.0M x 35.0M
OHS 04,OHS 04,Spectrum,71.67.64.2,600.0M x 35.0M
OHS 05,OHS 05,Spectrum,71.67.57.246,600.0M x 35.0M
OHT 01,OHT 01,AT&T Broadband II,75.61.152.97,300.0M x 300.0M
OHT 02,OHT 02,Spectrum,98.123.12.250,600.0M x 35.0M
OKA 01,OKA 01,SparkLight,159.118.225.250,300.0M x 30.0M
OKE 01,OKE 01,AT&T Broadband II,69.227.69.201,1000.0M x 200.0M
OKO00,OKO00,Cox Business/BOI,68.228.123.109,300.0M x 30.0M
OKO 02,OKO 02,Cox Business/BOI,98.174.180.151,300.0M x 30.0M
OKO 03,OKO 03,Cox Business/BOI,24.248.169.51,300.0M x 30.0M
OKO 04,OKO 04,Cox Business/BOI,68.99.64.218,300.0M x 30.0M
OKO 05,OKO 05,Cox Business/BOI,72.198.170.125,300.0M x 30.0M
OKO 06,OKO 06,Cox Business/BOI,72.200.243.6,300.0M x 30.0M
OKO 07,OKO 07,AT&T Broadband II,23.112.171.153,1000.0M x 1000.0M
OKO 08,OKO 08,Cox Business/BOI,72.204.204.142,300.0M x 30.0M
OKO 09,OKO 09,Cox Business/BOI,184.186.193.250,300.0M x 30.0M
OKO 10,OKO 10,Cox Business/BOI,98.179.49.45,300.0M x 30.0M
OKO 11,OKO 11,Cox Business/BOI,68.109.210.125,300.0M x 30.0M
OKO 12,OKO 12,AT&T Broadband II,45.26.241.57,300.0M x 75.0M
OKO 13,OKO 13,Cox Business/BOI,24.249.100.154,300.0M x 30.0M
OKO 14,OKO 14,Vyve,24.112.100.163,500.0M x 50.0M
OKO 15,OKO 15,AT&T Broadband II,104.1.124.193,1000.0M x 1000.0M
OKT 01,OKT 01,Cox Business/BOI,68.228.127.108,300.0M x 30.0M
OKT 02,OKT 02,Cox Business/BOI,174.78.187.86,300.0M x 30.0M
OKT 03,OKT 03,Cox Business/BOI,70.164.58.119,300.0M x 30.0M
OKT 05,OKT 05,Cox Business/BOI,98.184.114.134,300.0M x 30.0M
OKT 06,OKT 06,Cox Business/BOI ,174.77.124.141,300.0M x 30.0M
OKT 07,OKT 07,AT&T Broadband II,99.148.54.209,500.0M x 100.0M
OKT 08,OKT 08,Cox Business/BOI,98.175.15.27,300.0M x 30.0M
ORM 01,ORM 01,Spectrum,97.90.122.186,600.0M x 35.0M
ORM 02,ORM 02,Spectrum,68.185.58.190,600.0M x 35.0M
ORP 02,ORP 02,Comcast Workplace,96.71.186.1,250.0M x 25.0M
ORP 04,ORP 04,Comcast Workplace,96.79.127.209,600.0M x 35.0M
ORP 07,ORP 07,Ziply Fiber,192.183.197.170,1000.0M x 1000.0M
ORP 08,ORP 08,TDS Telecom,69.130.234.114,300.0M x 30.0M
ORP 09,ORP 09,Comcast Workplace,173.11.1.77,250.0M x 25.0M
ORP 10,ORP 10,Comcast Workplace,96.76.121.5,300.0M x 30.0M
ORP 11,ORP 11,Comcast Workplace,50.214.77.149,300.0M x 30.0M
ORP 12,ORP 12,Comcast Workplace,50.196.2.241,600.0M x 35.0M
PAC 01,PAC 01,Breezeline,72.28.198.15,300.0M x 30.0M
PAN 01,PAN 01,Comcast Workplace,50.186.72.13,600.0M x 35.0M
PAN 02,PAN 02,EB2-Penteledata Cable,NaN,300.0M x 30.0M
PAP 01,PAP 01,EB2-RCN Cable,216.164.196.131,250.0M x 15.0M
PAP 02,PAP 02,Comcast Workplace,50.251.53.21,600.0M x 35.0M
PAW 01,PAW 01,Comcast Workplace,50.248.77.209,600.0M x 35.0M
PAW 02,PAW 02,Comcast Workplace,71.27.80.173,600.0M x 35.0M
SCA 01,SCA 01,Breezeline (Formerly Atlantic Broadband),72.28.166.48,500.0M x 40.0M
SCC 01,SCC 01,Spectrum,144.253.8.134,600.0M x 35.0M
SCC 02,SCC 02,Spectrum,47.46.230.78,600.0M x 35.0M
SCC 03,SCC 03,Comporium Com DDSL,68.235.226.162,1000.0M x 35.0M
SCC 04,SCC 04,Spectrum,144.253.17.22,600.0M x 35.0M
SCC 05,SCC 05,Spectrum,156.19.61.102,600.0M x 35.0M
SCC 06,SCC 06,Spectrum,173.95.231.94,600.0M x 35.0M
SCC 07,SCC 07,Spectrum,70.60.121.234,600.0M x 35.0M
SCC 08,SCC 08,Spectrum,173.42.5.178,600.0M x 35.0M
SCC 09,SCC 09,Spectrum,173.42.23.254,600.0M x 35.0M
SCC 10,SCC 10,Spectrum,156.19.56.210,600.0M x 35.0M
SCC 11,SCC 11,Spectrum,96.10.89.218,600.0M x 35.0M
